Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	20.00	303.40	-69.18	351.29	-29.29	354.46	-35.56	4.4509E-6	NA	151.40	19.00	314.40	8.00	8.3657E-6	-1.2898E-5	-4.1413E-5	8.7068E-6	-1.3206E-5	-4.1603E-5	-1.7069E-7	4.6260E-7	2.5382E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.6695E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	57.00	312.34	-67.51	351.10	-32.99	354.75	-39.25	4.0365E-6	NA	151.40	19.00	314.40	8.00	1.0326E-5	-1.1117E-5	-3.7208E-5	1.0401E-5	-1.1415E-5	-3.7294E-5	9.5873E-8	4.5228E-7	1.4916E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.3341E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	80.00	319.03	-70.02	346.96	-33.36	350.31	-39.98	3.6349E-6	NA	151.40	19.00	314.40	8.00	9.4149E-6	-8.0727E-6	-3.3812E-5	9.3773E-6	-8.1422E-6	-3.4161E-5	5.0388E-8	4.5651E-7	1.3029E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	110.00	329.47	-67.14	345.91	-38.05	349.81	-44.73	3.1747E-6	NA	151.40	19.00	314.40	8.00	1.0126E-5	-6.5468E-6	-2.9286E-5	1.0622E-5	-6.2653E-6	-2.9254E-5	-2.7113E-7	-2.0246E-7	1.7003E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	7.3319E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	140.00	333.90	-71.08	341.52	-35.69	344.65	-42.71	2.7535E-6	NA	151.40	19.00	314.40	8.00	7.6837E-6	-3.4884E-6	-2.6129E-5	8.0195E-6	-3.9281E-6	-2.6047E-5	-1.1097E-7	5.1870E-7	1.2043E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.6675E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	175.00	341.94	-68.25	339.95	-39.45	343.38	-46.57	2.3947E-6	NA	151.40	19.00	314.40	8.00	8.3888E-6	-2.3144E-6	-2.2147E-5	8.4352E-6	-2.7503E-6	-2.2242E-5	1.7849E-7	5.1499E-7	2.9734E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	7.3319E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	210.00	345.90	-73.89	336.11	-34.56	338.57	-41.93	1.7423E-6	NA	151.40	19.00	314.40	8.00	4.6587E-6	-2.9156E-7	-1.6664E-5	4.6893E-6	-1.1779E-6	-1.6739E-5	-3.1510E-8	5.6110E-7	1.5093E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	7.3358E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	240.00	355.57	-69.01	333.47	-39.91	336.13	-47.41	1.4977E-6	NA	151.40	19.00	314.40	8.00	5.3856E-6	-9.1848E-8	-1.3909E-5	5.3478E-6	-4.1423E-7	-1.3983E-5	3.6962E-8	-2.8750E-9	1.5070E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.3365E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	270.00	6.91	-72.40	328.81	-36.45	330.60	-44.17	1.4598E-6	NA	151.40	19.00	314.40	8.00	4.4193E-6	8.4870E-7	-1.3831E-5	4.3813E-6	5.3117E-7	-1.3915E-5	3.7114E-8	-7.7280E-9	1.5974E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.3370E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	300.00	327.89	-72.78	342.24	-33.24	345.17	-40.22	1.1126E-6	NA	151.40	19.00	314.40	8.00	2.1355E-6	-1.3813E-6	-1.0990E-5	2.7903E-6	-1.7509E-6	-1.0627E-5	1.4308E-8	1.3879E-8	-1.3687E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	8.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	330.00	20.45	-79.67	327.31	-28.63	328.50	-36.41	1.3633E-6	NA	151.40	19.00	314.40	8.00	1.7697E-6	1.5472E-6	-1.3642E-5	2.2904E-6	8.5402E-7	-1.3412E-5	1.4841E-7	3.3746E-7	-4.5259E-9	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.3370E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	360.00	357.20	-75.81	332.22	-33.17	334.16	-40.74	1.3606E-6	NA	151.40	19.00	314.40	8.00	2.8087E-6	5.3151E-7	-1.3280E-5	3.3303E-6	-1.6269E-7	-1.3191E-5	1.4748E-7	3.3850E-7	1.3657E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.6654E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	390.00	345.05	-80.14	334.28	-28.50	336.08	-35.99	6.5612E-7	NA	151.40	19.00	314.40	8.00	1.3246E-6	9.8292E-7	-6.2463E-6	1.0858E-6	-2.8993E-7	-6.4642E-6	1.5805E-7	1.1085E-6	1.6142E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.3343E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	420.00	47.99	-69.32	313.40	-31.88	313.29	-39.87	1.2905E-6	NA	151.40	19.00	314.40	8.00	3.3082E-6	4.6600E-6	-1.1861E-5	3.0502E-6	3.3867E-6	-1.2073E-5	1.7726E-7	1.1090E-6	1.5536E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.6693E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	450.00	14.15	-58.13	319.93	-49.52	321.08	-57.47	9.4879E-7	NA	151.40	19.00	314.40	8.00	5.6868E-6	1.7309E-6	-7.8696E-6	4.8578E-6	1.2248E-6	-8.0574E-6	7.4827E-7	3.4178E-7	1.3126E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.6712E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	480.00	8.76	-68.38	327.18	-40.31	329.02	-48.09	1.4608E-6	NA	151.40	19.00	314.40	8.00	5.5043E-6	1.9598E-6	-1.3223E-5	5.3198E-6	8.2012E-7	-1.3580E-5	1.0146E-7	1.0282E-6	3.2576E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.0006E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	510.00	275.40	-77.95	344.15	-19.69	345.90	-26.58	1.0818E-6	NA	151.40	19.00	314.40	8.00	8.4320E-8	-1.8711E-6	-1.0370E-5	2.1239E-7	-2.2486E-6	-1.0580E-5	-7.9753E-8	3.1370E-7	2.4432E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.3370E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	540.00	186.77	-75.99	333.04	-5.09	333.45	-12.66	1.9997E-6	NA	151.40	19.00	314.40	8.00	-4.7267E-6	-2.0897E-7	-1.9280E-5	-4.8058E-6	-5.7053E-7	-1.9402E-5	1.2740E-7	2.9775E-7	1.5676E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	570.00	190.70	-87.83	331.82	-16.86	332.75	-24.48	1.1576E-6	NA	151.40	19.00	314.40	8.00	-3.9882E-7	2.6237E-7	-1.1403E-5	-4.3117E-7	-8.1503E-8	-1.1568E-5	8.0666E-8	2.8007E-7	1.9903E-7	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.6637E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	600.00	357.31	-27.90	346.36	-80.77	46.12	-85.12	5.9653E-7	NA	151.40	19.00	314.40	8.00	5.3553E-6	-6.3012E-8	-2.7865E-6	5.2661E-6	-2.4715E-7	-2.7914E-6	1.6404E-7	1.1487E-7	1.4214E-8	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.0043E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	630.00	359.24	-53.82	332.18	-55.17	336.75	-62.69	4.7910E-7	NA	151.40	19.00	314.40	8.00	2.9441E-6	1.9972E-7	-3.9064E-6	2.8278E-6	-3.7424E-8	-3.8673E-6	1.9109E-7	1.6788E-7	-2.9812E-8	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.6669E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	660.00	241.13	37.60	94.51	34.08	90.47	40.04	4.2057E-7	NA	151.40	19.00	314.40	8.00	-1.4725E-6	-2.6063E-6	2.4866E-6	-1.6086E-6	-2.9180E-6	2.5664E-6	2.1083E-7	2.4243E-7	-7.0486E-8	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.3317E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	690.00	21.64	-13.62	230.12	-68.57	209.98	-67.95	2.0681E-7	NA	151.40	19.00	314.40	8.00	2.6908E-6	1.0007E-6	-5.2632E-7	1.8683E-6	7.4106E-7	-4.8697E-7	8.9722E-7	1.9040E-7	-3.0061E-8	0.00	NA	NA	NA	10.00
BI2701.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.6669E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
