Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	330.00	18.45	4.68	15.54	-53.64	15.54	-53.64	3.6744E-7	NA	343.40	27.00	0.00	0.00	2.9305E-6	1.3375E-6	5.2190E-7	3.4740E-6	1.1588E-6	2.9997E-7	8.6149E-8	1.9589E-7	-2.6272E-9	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.1157E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	360.00	12.76	11.78	2.76	-49.29	2.76	-49.29	3.7887E-7	NA	343.40	27.00	0.00	0.00	3.0739E-6	1.0000E-6	1.0778E-6	3.6173E-6	8.1916E-7	7.7332E-7	8.6300E-8	1.9808E-7	7.9917E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.8861E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	390.00	30.82	10.22	26.34	-42.26	26.34	-42.26	2.4922E-7	NA	343.40	27.00	0.00	0.00	2.3552E-6	2.1577E-6	7.0227E-7	2.1062E-6	1.2565E-6	4.4239E-7	9.2377E-8	6.4792E-7	9.4347E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.1129E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	420.00	25.39	15.46	16.55	-40.90	16.55	-40.90	2.4901E-7	NA	343.40	27.00	0.00	0.00	2.4286E-6	1.9324E-6	9.2038E-7	2.1682E-6	1.0291E-6	6.6378E-7	1.0389E-7	6.4999E-7	9.1062E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.2269E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	450.00	12.56	7.78	4.46	-53.15	4.46	-53.15	2.7950E-7	NA	343.40	27.00	0.00	0.00	3.2983E-6	1.0559E-6	6.2067E-7	2.7031E-6	6.0222E-7	3.7817E-7	4.3873E-7	2.0039E-7	7.6962E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.2285E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	480.00	19.02	19.24	7.16	-40.22	7.16	-40.22	2.8338E-7	NA	343.40	27.00	0.00	0.00	2.7248E-6	1.7939E-6	1.1047E-6	2.5295E-6	8.7183E-7	9.3378E-7	5.9430E-8	6.0226E-7	1.9081E-7	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.0006E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	510.00	43.94	18.58	31.33	-27.61	31.33	-27.61	2.2929E-7	NA	343.40	27.00	0.00	0.00	1.3886E-6	1.9644E-6	5.6831E-7	1.5649E-6	1.5082E-6	7.3064E-7	-4.6473E-8	1.8280E-7	1.4237E-7	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.1152E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	540.00	22.98	38.51	2.51	-21.05	2.51	-21.05	2.5994E-7	NA	343.40	27.00	0.00	0.00	1.8170E-6	1.2414E-6	1.4054E-6	1.8725E-6	7.9420E-7	1.6186E-6	7.4331E-8	1.7373E-7	9.1465E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	570.00	12.13	7.77	3.78	-53.30	3.78	-53.30	1.8113E-7	NA	343.40	27.00	0.00	0.00	1.6718E-6	8.1382E-7	5.6270E-8	1.7546E-6	3.7706E-7	2.4492E-7	4.7037E-8	1.6331E-7	1.1606E-7	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.8848E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	600.00	29.84	-4.89	40.85	-53.97	40.85	-53.97	1.8785E-7	NA	343.40	27.00	0.00	0.00	1.6589E-6	1.1638E-6	-6.1200E-9	1.6235E-6	9.3127E-7	-1.5996E-7	9.6131E-8	6.7318E-8	8.3297E-9	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0027E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	630.00	260.62	-16.87	234.17	0.41	234.17	0.41	1.0375E-7	NA	343.40	27.00	0.00	0.00	-1.1084E-7	-7.1627E-7	-1.7306E-7	-1.6176E-7	-9.7956E-7	-3.0115E-7	1.1168E-7	9.8111E-8	-1.7423E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.8867E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	660.00	154.96	54.58	10.11	56.91	10.11	56.91	5.2310E-8	NA	343.40	27.00	0.00	0.00	-2.1114E-7	4.3646E-7	5.3023E-7	-2.7468E-7	1.2835E-7	4.2627E-7	1.2430E-7	1.4293E-7	-4.1557E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.7731E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	690.00	98.23	-38.58	111.49	-10.57	111.49	-10.57	4.3437E-8	NA	343.40	27.00	0.00	0.00	4.1582E-7	6.1268E-7	-1.4297E-7	-4.8607E-8	3.3605E-7	-2.7089E-7	5.2519E-7	1.1145E-7	-1.7597E-8	0.00	NA	NA	NA	10.00
BI1502.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.8867E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
