Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	20.00	293.86	-66.62	0.56	-45.48	7.36	-50.68	3.4889E-6	NA	149.40	40.00	314.40	8.00	5.2136E-6	-1.2253E-5	-3.1858E-5	5.5988E-6	-1.2660E-5	-3.2025E-5	-1.9458E-7	5.2734E-7	2.8934E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.8169E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	57.00	299.52	-62.92	5.78	-48.08	13.74	-52.65	3.0951E-6	NA	149.40	40.00	314.40	8.00	6.8612E-6	-1.1867E-5	-2.7509E-5	6.9425E-6	-1.2263E-5	-2.7557E-5	1.0944E-7	5.1627E-7	1.7026E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.4069E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	80.00	303.96	-62.97	5.39	-50.09	13.94	-54.67	2.8010E-6	NA	149.40	40.00	314.40	8.00	7.2172E-6	-1.0473E-5	-2.5040E-5	7.1118E-6	-1.0559E-5	-2.4949E-5	5.7428E-8	5.2029E-7	1.4850E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	110.00	307.07	-61.63	7.13	-51.72	16.39	-56.06	2.3931E-6	NA	149.40	40.00	314.40	8.00	6.4338E-6	-9.4230E-6	-2.1028E-5	6.8549E-6	-9.0723E-6	-2.1057E-5	-3.0839E-7	-2.3028E-7	1.9340E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.1853E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	140.00	307.66	-59.68	10.20	-52.29	19.92	-56.23	2.0646E-6	NA	149.40	40.00	314.40	8.00	6.1292E-6	-7.7811E-6	-1.7849E-5	6.3683E-6	-8.2520E-6	-1.7822E-5	-1.2650E-7	5.9129E-7	1.3729E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.5956E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	175.00	308.46	-60.54	8.70	-52.56	18.40	-56.68	1.8136E-6	NA	149.40	40.00	314.40	8.00	5.6375E-6	-6.5180E-6	-1.5618E-5	5.5468E-6	-6.9844E-6	-1.5792E-5	2.0338E-7	5.8682E-7	3.3881E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.1853E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	210.00	322.81	-56.79	11.97	-60.70	25.86	-64.17	1.3825E-6	NA	149.40	40.00	314.40	8.00	5.9653E-6	-3.7661E-6	-1.1296E-5	6.0325E-6	-4.5779E-6	-1.1567E-5	-3.5954E-8	6.4024E-7	1.7222E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.5409E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	240.00	315.91	-55.69	15.87	-57.25	28.12	-60.32	1.4301E-6	NA	149.40	40.00	314.40	8.00	5.8001E-6	-5.4404E-6	-1.1543E-5	5.7892E-6	-5.6087E-6	-1.1812E-5	4.2099E-8	-3.2746E-9	1.7165E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.5410E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	270.00	316.21	-50.75	25.02	-57.95	37.97	-59.76	1.2700E-6	NA	149.40	40.00	314.40	8.00	5.8116E-6	-5.3987E-6	-9.5547E-6	5.8006E-6	-5.5615E-6	-9.8344E-6	4.2191E-8	-8.7851E-9	1.8159E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.5410E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	300.00	323.57	-47.77	30.58	-62.90	46.49	-63.73	1.2201E-6	NA	149.40	40.00	314.40	8.00	6.2958E-6	-4.8900E-6	-9.1492E-6	6.5978E-6	-4.8698E-6	-9.0342E-6	1.6316E-8	1.5828E-8	-1.5608E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	330.00	330.18	-67.05	351.07	-58.33	0.80	-64.34	1.0336E-6	NA	149.40	40.00	314.40	8.00	3.3473E-6	-1.6558E-6	-9.4816E-6	3.4966E-6	-2.0040E-6	-9.5175E-6	1.6901E-7	3.8430E-7	-5.1542E-9	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.4104E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	360.00	323.29	-61.96	2.32	-58.87	14.13	-63.62	1.1031E-6	NA	149.40	40.00	314.40	8.00	4.0066E-6	-2.7487E-6	-9.5395E-6	4.1565E-6	-3.0990E-6	-9.7365E-6	1.6834E-7	3.8638E-7	1.5589E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.5917E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	390.00	295.86	-52.81	20.39	-45.57	28.45	-48.31	8.7863E-7	NA	149.40	40.00	314.40	8.00	2.6115E-6	-3.3464E-6	-6.7335E-6	2.3170E-6	-4.7794E-6	-6.9991E-6	1.8009E-7	1.2631E-6	1.8393E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.4075E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	420.00	301.50	-48.74	27.18	-48.34	36.26	-50.11	8.3635E-7	NA	149.40	40.00	314.40	8.00	3.1984E-6	-3.2684E-6	-6.0282E-6	2.8818E-6	-4.7029E-6	-6.2870E-6	2.0214E-7	1.2646E-6	1.7717E-7	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.8163E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI2801.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	450.00	318.50	-31.01	61.22	-55.38	71.41	-52.37	6.8073E-7	NA	149.40	40.00	314.40	8.00	5.3380E-6	-3.3062E-6	-3.2754E-6	4.3699E-6	-3.8659E-6	-3.5068E-6	8.5360E-7	3.8989E-7	1.4974E-7	0.00	NA	NA	NA	10.00
