Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI1603.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	20.00	331.15	-17.41	216.13	-62.54	216.13	-62.54	1.4581E-6	NA	309.40	18.00	0.00	0.00	1.1903E-5	-6.5696E-6	-4.2458E-6	1.2186E-5	-6.7128E-6	-4.3633E-6	-1.2285E-7	3.3295E-7	1.8268E-7	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.3737E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	57.00	331.56	-16.69	217.78	-62.85	217.78	-62.85	1.3764E-6	NA	309.40	18.00	0.00	0.00	1.1502E-5	-6.1410E-6	-3.9110E-6	1.1593E-5	-6.2785E-6	-3.9538E-6	6.9366E-8	3.2723E-7	1.0792E-7	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.1870E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	80.00	341.84	-18.73	214.12	-72.75	214.12	-72.75	1.2565E-6	NA	309.40	18.00	0.00	0.00	1.1462E-5	-3.5714E-6	-3.3740E-6	1.1307E-5	-3.7092E-6	-4.0342E-6	3.6310E-8	3.2897E-7	9.3890E-8	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	110.00	330.95	-16.02	219.06	-62.18	219.06	-62.18	1.1102E-6	NA	309.40	18.00	0.00	0.00	8.8254E-6	-5.5063E-6	-2.8421E-6	9.3284E-6	-5.1814E-6	-3.0635E-6	-1.9672E-7	-1.4690E-7	1.2337E-7	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.6249E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	140.00	341.84	-15.89	223.60	-72.50	223.60	-72.50	1.0117E-6	NA	309.40	18.00	0.00	0.00	8.8584E-6	-2.8345E-6	-2.5842E-6	9.2452E-6	-3.0332E-6	-2.7697E-6	-8.0583E-8	3.7665E-7	8.7451E-8	0.00	NA	NA	NA	10.00
BI1603.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.8122E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
