Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.2625E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	360.00	322.54	4.19	346.13	-41.66	346.13	-41.66	3.2106E-7	NA	40.40	28.00	0.00	0.00	2.2076E-6	-1.6593E-6	5.0660E-7	2.5418E-6	-1.9473E-6	2.3485E-7	1.2708E-7	2.9167E-7	1.1768E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.7389E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	390.00	334.66	10.90	4.65	-44.02	4.65	-44.02	1.8877E-7	NA	40.40	28.00	0.00	0.00	1.8414E-6	3.6098E-7	6.5926E-7	1.6754E-6	-7.9320E-7	3.5694E-7	1.3597E-7	9.5366E-7	1.3887E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.2601E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	420.00	330.75	-6.94	342.14	-55.23	342.14	-55.23	1.9625E-7	NA	40.40	28.00	0.00	0.00	1.8833E-6	2.0790E-7	6.0860E-8	1.6998E-6	-9.5178E-7	-2.3697E-7	1.5331E-7	9.5917E-7	1.3438E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.5214E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	450.00	329.47	2.55	351.54	-47.64	351.54	-47.64	2.4298E-7	NA	40.40	28.00	0.00	0.00	2.7659E-6	-7.3799E-7	3.8471E-7	2.0909E-6	-1.2331E-6	1.0814E-7	6.4485E-7	2.9454E-7	1.1312E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.5223E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	480.00	311.50	31.21	358.88	-14.90	358.88	-14.90	1.5350E-7	NA	40.40	28.00	0.00	0.00	1.0601E-6	8.1168E-8	1.0533E-6	8.6990E-7	-9.8332E-7	7.9537E-7	8.7673E-8	8.8847E-7	2.8148E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.0003E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	510.00	337.25	-1.11	357.48	-55.40	357.48	-55.40	1.7218E-7	NA	40.40	28.00	0.00	0.00	1.4328E-6	-2.3176E-7	4.5050E-8	1.5875E-6	-6.6581E-7	-3.3236E-8	-6.8547E-8	2.6962E-7	2.0999E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.2623E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	540.00	318.79	6.21	344.69	-37.56	344.69	-37.56	1.7691E-7	NA	40.40	28.00	0.00	0.00	1.3467E-6	-7.3763E-7	1.9482E-7	1.3230E-6	-1.1588E-6	1.9136E-7	1.0985E-7	2.5674E-7	1.3517E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	570.00	44.84	-15.98	123.93	-46.98	123.93	-46.98	9.2471E-8	NA	40.40	28.00	0.00	0.00	6.1370E-7	1.0328E-6	-2.1471E-7	6.3031E-7	6.2688E-7	-2.5458E-7	6.9539E-8	2.4144E-7	1.7158E-7	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.7374E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	600.00	45.32	-30.74	145.74	-50.68	145.74	-50.68	1.5401E-7	NA	40.40	28.00	0.00	0.00	1.0214E-6	1.1620E-6	-6.5229E-7	9.3077E-7	9.4120E-7	-7.8723E-7	1.4157E-7	9.9135E-8	1.2267E-8	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.0041E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	630.00	102.55	-51.43	181.49	-14.33	181.49	-14.33	1.8296E-7	NA	40.40	28.00	0.00	0.00	-1.3430E-7	1.3795E-6	-1.3335E-6	-2.4776E-7	1.1134E-6	-1.4305E-6	1.6443E-7	1.4446E-7	-2.5653E-8	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.4740E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	660.00	74.70	-18.52	140.50	-21.72	140.50	-21.72	2.5430E-7	NA	40.40	28.00	0.00	0.00	7.6738E-7	2.6568E-6	-7.4579E-7	6.3637E-7	2.3259E-6	-8.0762E-7	1.8199E-7	2.0927E-7	-6.0843E-8	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.8478E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	690.00	0.62	-31.04	210.56	-86.92	210.56	-86.92	2.6444E-7	NA	40.40	28.00	0.00	0.00	2.9879E-6	3.1008E-7	-1.2667E-6	2.2656E-6	2.4328E-8	-1.3634E-6	7.7327E-7	1.6409E-7	-2.5909E-8	0.00	NA	NA	NA	10.00
BI1704.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.9740E+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
