Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
QM1802.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	20.00	298.43	19.85	280.94	-19.68	280.94	-19.68	5.9322E-7	NA	342.40	16.00	0.00	0.00	2.3763E-6	-4.2432E-6	2.3248E-6	2.6562E-6	-4.9069E-6	2.0143E-6	-2.4245E-7	6.5709E-7	3.6053E-7	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.1111E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	57.00	282.57	11.62	267.19	-8.59	267.19	-8.59	5.1109E-7	NA	342.40	16.00	0.00	0.00	1.1883E-6	-4.2353E-6	1.1917E-6	1.0893E-6	-4.8862E-6	1.0293E-6	1.3657E-7	6.4426E-7	2.1247E-7	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.5531E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	80.00	269.66	3.26	255.44	1.23	255.44	1.23	4.7278E-7	NA	342.40	16.00	0.00	0.00	-3.4000E-10	-4.2218E-6	5.1153E-7	-2.8350E-8	-4.7201E-6	2.6908E-7	7.1497E-8	6.4776E-7	1.8488E-7	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	110.00	237.29	-8.33	233.40	28.30	233.40	28.30	6.0707E-7	NA	342.40	16.00	0.00	0.00	-3.8066E-6	-5.3493E-6	-7.0788E-7	-3.2459E-6	-5.0541E-6	-8.7945E-7	-3.8458E-7	-2.8718E-7	2.4118E-7	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.8918E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	Thermal Demag	0	0	0	140.00	221.45	-15.68	216.65	38.26	216.65	38.26	7.8629E-7	NA	342.40	16.00	0.00	0.00	-6.0081E-6	-4.2823E-6	-2.0240E-6	-5.6744E-6	-5.0110E-6	-2.1254E-6	-1.5760E-7	7.3666E-7	1.7104E-7	0.00	NA	NA	NA	10.00
QM1802.1	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.4492E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
